name	value
Living people	562176
Year of birth missing (living people)	41930
Archived files for deletion discussions	26754
English-language films	24514
American films	17880
Main Belt asteroids	17704
Article Feedback 5	16325
American film actors	14879
Black-and-white films	13667
English footballers	13650
Year of death missing	13313
The Football League players	13008
Association football midfielders	12995
American television actors	12456
Year of birth missing	12313
1985 births	11230
1984 births	11059
1982 births	11022
Association football defenders	11005
1983 births	11005
1986 births	10962
Articles created via the Article Wizard	10922
1981 births	10819
Association football forwards	10794
1980 births	10424
1987 births	10182
1979 births	10036
1988 births	9801
1978 births	9399
1977 births	9142
1976 births	8910
Albums by artist	8909
1989 births	8610
1975 births	8598
Rivers of Romania	8571
1970 births	8514
1974 births	8463
English cricketers	8450
1971 births	8429
1973 births	8373
1947 births	8342
1972 births	8325
Indian films	8243
1969 births	8080
1964 births	8008
1948 births	7894
Place of birth missing (living people)	7873
1946 births	7841
1968 births	7815
1960 births	7722
Major League Baseball pitchers	7716
1963 births	7668
1965 births	7665
1962 births	7639
1952 births	7636
1967 births	7613
1949 births	7595
1950 births	7570
1956 births	7568
1954 births	7545
1951 births	7545
1958 births	7501
1955 births	7492
1959 births	7468
1953 births	7457
1957 births	7435
1966 births	7432
1961 births	7418
1990 births	7349
Harvard University alumni	7016
1944 births	7007
1943 births	6977
1945 births	6894
Members of the United Kingdom Parliament for English constituencies	6793
1942 births	6605
Asteroids named for people	6499
British films	6144
1940 births	6128
1941 births	6103
Association football goalkeepers	5805
2010 deaths	5790
1939 births	5773
2009 deaths	5709
2008 deaths	5658
1938 births	5652
1991 births	5574
2007 deaths	5456
Villages in the Czech Republic	5446
Year of birth unknown	5409
1937 births	5333
2011 deaths	5313
1930 births	5296
1936 births	5225
2006 deaths	5202
1928 births	5132
Russian footballers	5131
1935 births	5083
Windows games	5071
English-language albums	5031
1920 births	5022
1934 births	5015
1929 births	5013
1927 births	4971
1926 births	4951
1932 births	4920
1931 births	4918
1921 births	4910
1924 births	4870
1923 births	4829
1922 births	4784
American military personnel of World War II	4781
1925 births	4760
2005 deaths	4758
1933 births	4715
English-language television series	4575
1914 births	4506
Brazilian footballers	4396
2004 deaths	4377
Scottish footballers	4291
1992 births	4263
1913 births	4235
1919 births	4219
1912 births	4216
Year of death unknown	4215
1916 births	4206
1915 births	4155
1918 births	4153
1917 births	4139
2003 deaths	4137
Surnames	4123
1910 births	4112
Chinese calendar templates	4097
Fellows of the Royal Society	4093
1911 births	4035
Vulnerable plants	4026
2002 deaths	4013
1909 births	3984
1908 births	3978
American novelists	3916
American stage actors	3892
1906 births	3824
2001 deaths	3805
1907 births	3798
People from New York City	3740
Members of the Parliament of England (pre-1707)	3738
1999 deaths	3719
Serie A footballers	3708
1905 births	3695
2000 deaths	3653
American film directors	3649
Italian footballers	3641
English television actors	3636
Columbia University alumni	3591
Deaths from myocardial infarction	3582
1903 births	3541
2012 deaths	3505
1998 deaths	3485
People of the Tudor period	3482
1995 deaths	3482
1902 births	3464
1900 births	3453
1996 deaths	3450
1904 births	3449
Ligue 1 players	3443
German footballers	3436
1994 deaths	3434
American male singers	3416
1997 deaths	3410
1993 deaths	3392
1898 births	3392
16th-century English people	3367
Hindi-language films	3352
Fußball-Bundesliga players	3340
French footballers	3327
People from London	3319
American writers	3300
Australian rules footballers from Victoria (Australia)	3290
American people of Irish descent	3281
1899 births	3276
French films	3265
American screenwriters	3261
1901 births	3245
La Liga footballers	3240
1895 births	3234
1892 births	3217
People from Chicago, Illinois	3190
Songs by artist	3184
1894 births	3177
Premier League players	3168
Year of birth uncertain	3167
1897 births	3167
American journalists	3146
1990 deaths	3141
Yale University alumni	3134
1992 deaths	3128
Conservative Party (UK) MPs	3111
American poets	3103
1893 births	3094
English film actors	3076
1896 births	3074
Films based on novels	3063
1989 deaths	3047
2006 albums	3045
1889 births	3032
1890 births	3031
Scottish Football League players	3025
1944 deaths	3003
1891 births	2987
2007 albums	2985
1988 deaths	2981
1991 deaths	2977
1888 births	2976
20th-century classical composers	2965
1987 deaths	2940
2000s drama films	2930
English-language journals	2913
1985 deaths	2908
1945 deaths	2908
Spanish-language films	2889
American businesspeople	2887
Independent films	2879
Subtemplates of Template Convert	2877
American Jews	2876
1887 births	2871
1986 deaths	2849
Years	2841
1886 births	2832
2000s American television series	2817
American female singers	2811
2008 albums	2807
2005 albums	2785
American voice actors	2783
Userboxes	2764
Argentine footballers	2764
1984 deaths	2762
1980 deaths	2761
1979 deaths	2751
American historians	2742
1983 deaths	2733
Italian films	2732
American painters	2729
1884 births	2726
1982 deaths	2725
American composers	2714
American academics	2713
Place of birth missing	2704
Recipients of the Knight's Cross	2694
Japanese footballers	2694
1885 births	2691
2009 albums	2686
People from Los Angeles, California	2683
1981 deaths	2666
1973 deaths	2666
1970 deaths	2659
1993 births	2657
Unincorporated communities in West Virginia	2654
People from Brooklyn	2645
1942 deaths	2640
Commanders of the Order of the British Empire	2636
1975 deaths	2625
Olympic medalists in athletics (track and field)	2623
German military personnel of World War II	2620
1971 deaths	2615
1977 deaths	2605
1882 births	2603
1976 deaths	2600
1969 deaths	2591
1968 deaths	2578
Knights Bachelor	2577
1883 births	2567
1943 deaths	2550
2004 albums	2547
American soccer players	2546
1972 deaths	2535
American film producers	2524
1974 deaths	2511
Spanish footballers	2510
1978 deaths	2502
1967 deaths	2494
Unincorporated communities in Virginia	2485
1881 births	2461
2. Fußball-Bundesliga players	2456
1966 deaths	2454
Brazilian expatriate footballers	2439
1879 births	2432
People educated at Eton College	2430
1880 births	2427
Japanese films	2425
Expatriate footballers in England	2423
Possibly living people	2418
Coat of arms images	2391
United States Supreme Court cases	2385
Major League Baseball outfielders	2380
1965 deaths	2373
1878 births	2373
American child actors	2372
Expatriate footballers in Germany	2366
2003 albums	2364
Thoroughbred racehorses	2344
2010 albums	2341
French-language films	2338
Naturalized citizens of the United States	2336
Ligue 2 players	2325
American drama films	2301
1964 deaths	2290
1963 deaths	2289
Italian painters	2280
1941 deaths	2280
1962 deaths	2279
American people of English descent	2270
1876 births	2268
American football linebackers	2257
1877 births	2229
American football wide receivers	2224
American people of Italian descent	2206
Officers of the Order of the British Empire	2204
British Army personnel of World War I	2197
Expatriate footballers in Spain	2193
Princeton University alumni	2191
1960 deaths	2185
Russian Premier League players	2175
2007 films	2171
1874 births	2165
1875 births	2157
Expatriate footballers in Italy	2155
1873 births	2149
American football running backs	2147
2006 films	2139
17th-century English people	2139
Grammy Award-winning artists	2137
2008 films	2136
Redirects from songs	2135
People from Philadelphia, Pennsylvania	2120
Undrafted National Football League players	2116
1961 deaths	2116
American television producers	2113
1872 births	2113
Olympic medalists in rowing	2106
1958 deaths	2106
1956 deaths	2096
Expatriate footballers in France	2095
PlayStation 2 games	2094
2009 films	2088
Baseball players from California	2079
Australian rugby league players	2075
2002 albums	2073
1870 births	2067
Endangered plants	2064
German nobility	2062
1957 deaths	2055
United States Army officers	2041
Segunda División footballers	2040
American artists	2037
University of California, Berkeley alumni	2032
1940 deaths	2027
2001 albums	2023
1959 deaths	2023
Directorial debut films	2004
1869 births	2004
Minor league baseball managers	1997
American documentary films	1994
2007 singles	1989
Flora of Ecuador	1986
Athletes (track and field) at the 2012 Summer Olympics	1968
Recipients of the Legion of Merit	1967
Primeira Liga players	1967
1937 deaths	1963
Operas	1955
Members of the Privy Council of the United Kingdom	1955
American silent feature films	1954
1951 deaths	1951
United States Army soldiers	1950
2011 albums	1950
Recipients of the Iron Cross	1948
1918 deaths	1943
Primera División Argentina players	1939
Cornell University alumni	1931
1946 deaths	1929
1953 deaths	1926
1950 deaths	1926
Ice hockey people from Ontario	1924
American record producers	1921
Canadian television actors	1918
1955 deaths	1916
1947 deaths	1916
Unincorporated communities in California	1910
American comedy films	1907
2000 albums	1904
1867 births	1899
American football quarterbacks	1898
American singer-songwriters	1892
1868 births	1890
1952 deaths	1888
People from Boston, Massachusetts	1880
1938 deaths	1880
1871 births	1879
1948 deaths	1878
2008 singles	1872
1949 deaths	1871
2009 singles	1867
Greek mythology	1865
2005 films	1864
Astronomical objects discovered in 1998	1863
1954 deaths	1863
2006 singles	1859
19th-century baseball players	1855
Harvard Law School alumni	1854
Argentine expatriate footballers	1852
Eredivisie players	1850
Italian-language films	1848
20th-century mathematicians	1847
American lawyers	1844
Bulbophyllum	1842
English stage actors	1835
1866 births	1835
1865 births	1835
Australian Labor Party politicians	1826
2010 singles	1824
1936 deaths	1822
German-language surnames	1821
Philadelphia Phillies players	1819
2010 films	1815
1939 deaths	1815
Athletes (track and field) at the 2008 Summer Olympics	1811
Plant pathogens and diseases	1808
Guggenheim Fellows	1807
Place of death missing	1801
Liberal Party of Canada MPs	1801
American silent short films	1801
1864 births	1798
American educators	1797
Houses on the National Register of Historic Places in New York	1796
1999 albums	1788
Rivers of the Olt subbasin	1787
American people of German descent	1787
Canadian film actors	1781
American television writers	1781
1990s drama films	1777
1863 births	1771
American Latter Day Saints	1766
Israeli Jews	1754
Non-talk pages that are automatically signed	1750
Major League Baseball catchers	1750
Dutch footballers	1748
1860 births	1747
Recipients of the Bronze Star Medal	1739
Alumni of Trinity College, Cambridge	1739
1862 births	1737
Stanford University alumni	1729
Cincinnati Reds players	1729
People from Toronto	1727
Green Bay Packers players	1720
St. Louis Cardinals players	1718
Members of the United States National Academy of Sciences	1717
University of Michigan alumni	1702
Rivers of the Siret subbasin	1702
Recipients of the German Cross	1700
